t-1 [diag:watch] addr=0x587b18 width=4 value=0x587b18 pc=0x3b116c thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x587b1c width=4 value=0x587b18 pc=0x3b1174 thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x548848 width=4 value=0xb pc=0x3b1178 thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x54884c width=4 value=0xb pc=0x3b117c thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x587b20 width=4 value=0x548848 pc=0x3b1184 thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x587b24 width=4 value=0x548848 pc=0x3b1188 thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x548848 width=4 value=0x587b20 pc=0x3b118c thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x54884c width=4 value=0x587b20 pc=0x3b1190 thread=1 ra=0x3b06a0 sp=0x1fffe60
t-1 [diag:watch] addr=0x587b8c width=4 value=0x0 pc=0x254e08 thread=1 ra=0x254e08 sp=0x1fffe70
t-1 [diag:watch] addr=0x587b20 width=4 value=0x587b20 pc=0x3b10f8 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x587b24 width=4 value=0x587b20 pc=0x3b1100 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x54884c width=4 value=0xb pc=0x3b1108 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x548848 width=4 value=0xb pc=0x3b1110 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x587b18 width=4 value=0x548848 pc=0x3b111c thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x587b1c width=4 value=0x548848 pc=0x3b1120 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x548848 width=4 value=0x587b18 pc=0x3b1124 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x54884c width=4 value=0x587b18 pc=0x3b1128 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x548850 width=4 value=0x1 pc=0x3b1130 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t-1 [diag:watch] addr=0x587b10 width=4 value=0x8d0 pc=0x3b103c thread=1 ra=0x3b10a4 sp=0x1fffde0
t-1 [diag:watch] addr=0x587b8c width=4 value=0x548840 pc=0x254c7c thread=1 ra=0x253920 sp=0x1fffd60
